issue_id,label_mr1,reason_mr1,label_mr2,reason_mr2,final_label,resolution_note
GH001,0,"Original GitHub issue uses the template but leaves steps/code/log/doctor fields as placeholders, so reproduction evidence is insufficient.",0,"The issue leaves the reproduction template mostly blank, with no usable steps, logs, code sample, or doctor output to verify the problem.",0,Agreement.
GH002,0,Original issue is almost only an unfilled Flutter template; expected/actual/logs are blank and steps are placeholders.,0,"The report mainly contains placeholder Flutter template text; actual result, expected result, logs, and actionable steps are not filled in.",0,Agreement.
GH003,0,"Original issue is an unfilled Flutter template with no concrete steps, expected/actual result, logs, or environment details.",0,"The body does not provide a concrete scenario, environment, expected output, actual output, or supporting evidence for reproduction.",0,Agreement.
GH004,0,"Only reports a MyApp-not-defined message; steps, expected/actual, logs, and reproducible code are missing or template placeholders.",0,"The report only mentions a MyApp undefined error, while the runnable sample, exact steps, logs, and expected behavior are not supplied.",0,Agreement.
GH005,1,"Provides concrete device/settings conditions, a sequence to trigger the UI issue, expected/actual behavior, and screenshots.",1,"The report describes the device/settings condition, how to trigger the interface problem, what should happen, what happens instead, and includes screenshots.",1,Agreement.
GH006,0,"Mentions Android 13 gallery not opening, but lacks app/plugin details, code, logs, and concrete reproduction steps beyond a vague scenario.",0,"The Android 13 gallery issue is described too generally and does not include enough plugin/app version data, logs, code, or repeatable actions.",0,Agreement.
GH007,1,"Provides upgrade context, execution command, detailed error stack/logs, version information, and Flutter doctor output.",1,"The report includes upgrade context, the command used, detailed failure output, version information, and Flutter doctor details, so it is reproducible.",1,Agreement.
GH008,1,"Includes a minimal Dart code sample, run step, actual exception stack trace, and environment/doctor output.",1,"A small Dart example, the command/run context, the exception trace, and environment output are included, giving enough reproduction information.",1,Agreement.
GH009,1,"Includes code sample, build error logs, expected/actual behavior, and Flutter doctor/environment information.",1,"The issue provides sample code together with build failure logs, expected versus actual behavior, and Flutter environment details.",1,Agreement.
GH010,1,"Gives a repeatable environment-based sequence, expected/actual behavior, Chrome/Debian versions, and Flutter doctor output.",1,"The reporter gives a clear environment-specific scenario with expected and actual results, browser/OS versions, and Flutter doctor information.",1,Agreement.
GH011,1,"Although exact steps are not fully known, the report provides expected/actual behavior, Podfile/pubspec configuration, long build logs, and environment context.",1,"Even though the exact trigger is partly uncertain, the report contains configuration files, expected/actual behavior, long build logs, and environment data.",1,Agreement.
GH012,1,"Provides project dependency list, compiler/build error logs, Flutter doctor output, and enough context to reproduce the outdated package build failure.",1,"The package/dependency context, compiler error output, and Flutter doctor information give enough detail to recreate the outdated package build problem.",1,Agreement.
GH013,0,"Steps are template placeholders and there is no real code sample, logs, or environment output; only an error message is described.",0,"The entry keeps reproduction steps as placeholders and does not include real code, logs, device details, or a complete expected/actual comparison.",0,Agreement.
GH014,0,Original issue body is essentially an empty template with no concrete reproduction details or evidence.,0,"The issue content is essentially empty, so there are no practical steps, environment details, or evidence to reproduce the bug.",0,Agreement.
GH015,1,"Provides reproduction repository, clone/install/run steps, current vs expected behavior, screenshots, canary verification, and environment info.",1,"A reproduction repository, install/run instructions, observed and expected results, screenshots, canary comparison, and environment details are provided.",1,Agreement.
GH016,1,"Provides CodeSandbox repro, detailed route/search-params steps, current vs expected behavior, and environment information.",1,"The CodeSandbox link, route/search-parameter sequence, current behavior, expected behavior, and environment data are enough for reproduction.",1,Agreement.
GH017,1,"Provides code reference, reproduction steps, current/expected/actual behavior, affected area, and environment details.",1,"The report points to the relevant code area and includes steps, expected behavior, observed behavior, affected area, and environment information.",1,Agreement.
GH018,1,"Provides reproduction repo, minimal code/steps, expected/actual behavior, package versions, and environment context.",1,"A reproduction repository with minimal steps/code, expected and actual results, package versions, and environment context is available.",1,Agreement.
GH019,1,"Provides reproduction repo, step-by-step BFCache navigation scenario, current/expected/actual behavior, and tested environment.",1,"The report supplies a repository and a detailed BFCache navigation flow, plus observed/expected behavior and the tested environment.",1,Agreement.
GH020,0,The reproduction link is only localhost and no project/code is provided; the terminal log and steps are not enough to reproduce the server-exit issue.,0,"The only reproduction address is localhost and no shared project or code is available, so the command output and steps are not sufficient to repeat the issue.",0,Agreement.
GH021,1,"Provides a repository link, env-variable scenario, current/expected behavior, environment details, and additional reproduction context.",1,"The repository link, environment-variable scenario, expected and current behavior, and added context make the case reproducible.",1,Agreement.
GH022,1,"Provides reproduction branch/repo, exact pnpm commands, current/expected behavior, environment information, and full module-not-found trace.",1,"The reproduction branch, exact pnpm commands, module-not-found trace, current/expected results, and environment information are all included.",1,Agreement.
GH023,1,"Provides reproduction repo, deployment/navigation steps, expected/actual caching behavior, environment details, and additional context.",1,"The report gives a reproduction repo, deployment/navigation procedure, expected and actual caching result, and environment context.",1,Agreement.
GH024,1,Provides a dedicated reproduction repo and a clear A/B page-navigation scenario explaining expected vs actual state restoration.,1,The dedicated repository and A/B page navigation case clearly show the expected state restoration and the actual incorrect behavior.,1,Agreement.
GH025,1,"Provides CodeSandbox repro, exact next.config action, current/expected behavior, error output, and environment details.",1,"The CodeSandbox demo, next.config change, error output, current/expected behavior, and environment details provide a reproducible case.",1,Agreement.
GH026,1,"Provides reproduction repo, build/type-check commands, current/expected behavior, runtime/build error context, screenshot, and environment details.",1,"The issue includes a repository, build/type-check commands, runtime/build error details, screenshot evidence, environment data, and expected behavior.",1,Agreement.
GH027,1,"Provides CodeSandbox link, dev-mode step, code/config context, current/expected behavior, screenshot, and environment details.",1,"The CodeSandbox sample, development-mode step, related code/config, screenshot, environment details, and actual versus expected behavior are present.",1,Agreement.
GH028,1,"Provides reproduction repo, steps to start/open the app, current/expected behavior, minimal code explanation, logs, and environment details.",1,"The report includes a repository, start/open steps, minimal code explanation, logs, environment information, and expected/actual behavior.",1,Agreement.
GH029,1,"Provides reproduction repo, create-next-app options, current/expected behavior, screenshot, and environment information.",1,"The create-next-app setup choices, screenshot, environment data, and current versus expected result give enough information to reproduce.",1,Agreement.
GH030,1,"Provides VS Code/OS versions, clear steps, expected/actual behavior, screenshots, and extension-disabled confirmation.",1,"The report lists VS Code and OS versions, a clear action sequence, expected and observed results, screenshots, and confirmation with extensions disabled.",1,Agreement.
GH031,1,"Provides VS Code/OS versions, steps using Java tests, screenshots for side-by-side and inline mode, and extension context.",1,"The VS Code/OS details, Java test workflow, screenshots for both display modes, and extension context provide a repeatable scenario.",1,Agreement.
GH032,1,"Provides VS Code/OS versions, direct launch step, exact fatal error message, and affected macOS versions.",1,"The launch action, fatal error text, VS Code and OS versions, and affected macOS versions make the startup failure reproducible.",1,Agreement.
GH033,1,"Provides VS Code/OS versions, update steps, access-denied outcome, and component/process clue for the updater failure.",1,"The update procedure, access-denied result, VS Code/OS versions, and updater component clue are sufficient to investigate the update failure.",1,Agreement.
GH034,1,"Provides VS Code/OS versions, update steps, screenshot/log attachment, actual failure, and manual installer workaround.",1,"The reporter provides update steps, VS Code/OS versions, screenshot/log attachment, actual failure behavior, and a manual installer workaround.",1,Agreement.
GH035,1,"Provides VS Code/OS versions, fresh Ubuntu/Wayland setup steps, observed UI failures, video evidence, and workaround.",1,"The fresh Ubuntu Wayland setup, VS Code/OS details, observed UI failures, video evidence, and workaround give enough reproduction context.",1,Agreement.
GH036,1,"Provides VS Code/OS versions, exact download/update API evidence, expected/actual download behavior, and platform context.",1,"The issue includes platform details, update/download API evidence, expected and actual download behavior, and VS Code/OS version information.",1,Agreement.
GH037,1,"Provides VS Code/OS versions, source-control precondition, precise amend steps, actual behavior, screenshot, and workaround.",1,"The source-control precondition, amend workflow, screenshot, actual behavior, workaround, and VS Code/OS versions make the case testable.",1,Agreement.
GH038,0,"Reporter explicitly says exact steps are hard and no pattern is known; reproduction depends on unknown files, so evidence is insufficient.",0,"The reporter states that reliable steps are unknown and the behavior depends on unspecified files, so the report lacks enough reproducibility evidence.",0,Agreement.
GH039,0,This is mainly a question/misunderstanding about the OS 'open' command; it lacks a valid VS Code bug reproduction and extensions were not isolated.,0,The report appears to be about understanding the operating-system open command rather than a confirmed VS Code bug with isolated reproduction steps.,0,Agreement.
GH040,0,"Long description exists, but no minimal app/repo is provided and the cause is ambiguous across Chrome/Firebase/cache/Angular; team marked it as needing reproduction.",0,"Although the description is long, it lacks a minimal shared app/repo and the possible cause remains unclear across several technologies.",0,Agreement.
GH041,0,"No minimal reproduction link, no exception/log, and only a partial code fragment/video are provided; not enough to reproduce reliably.",0,"Only partial code and a video are available, with no minimal reproduction link or error output, so the issue cannot be reproduced reliably.",0,Agreement.
GH042,1,"Provides a Plunker minimal reproduction, expected/actual behavior, and environment/browser/language details.",1,"A Plunker reproduction, actual and expected behavior, and browser/language/environment details are provided for the Angular issue.",1,Agreement.
GH043,1,"Provides detailed current behavior, error trace, attachment with reproduction material, expected behavior, and environment details.",1,"The report includes a detailed failure description, stack/error trace, attached reproduction material, expected behavior, and environment details.",1,Agreement.
GH044,1,"Provides a Plunker reproduction, current/expected behavior, use case, and Angular/browser/language environment.",1,"The Plunker example, use case, current/expected behavior, and Angular/browser/language environment are enough to repeat the problem.",1,Agreement.
GH045,1,"Provides reproduction repo, React Compiler reproduction steps, frequency, React version, and compiler version.",1,"The reproduction repository, React Compiler steps, occurrence frequency, React version, and compiler version provide a reproducible case.",1,Agreement.
GH046,0,"Describes a vague rapid-render scenario but lacks concrete code or a repo, so the skipped cleanup behavior is not reproducible enough.",0,"The rapid-render behavior is described at a high level, but no concrete code sample or repository is shared to recreate the cleanup issue.",0,Agreement.
GH047,1,"Provides exact component code, render steps, expected/actual behavior, and a timing scenario to reproduce the state jump.",1,"The report includes exact component code, rendering steps, expected and actual behavior, and the timing condition causing the state jump.",1,Agreement.
GH048,1,"Provides reproduction repo, README/CI references, affected Node versions, expected/actual behavior, and environment details.",1,"The repository, README/CI references, affected Node versions, expected result, observed result, and environment details make the failure reproducible.",1,Agreement.
GH049,1,"Provides Node version/platform, installation/uninstallation steps, expected/actual installer behavior, and exact modal message.",1,"The Node version, platform, install/uninstall procedure, expected installer behavior, actual modal message, and environment are clearly stated.",1,Agreement.
GH050,1,"Provides Kubernetes logs, minimal cluster/pod/kubelet restart steps, expected/actual behavior, probability, workaround, and environment details.",1,"The Kubernetes logs, cluster/pod/kubelet restart scenario, probability, workaround, expected/actual behavior, and environment details support reproduction.",1,Agreement.
